Colors L,Colors R
0.672270238,0.726914551
0.431511183,0.373847666
0.69440391,0.581582083
0.256784563,0.116118513
0.00975865,0.057654361
0.532283071,0.979765224
0.279391965,0.284823727
0.946230154,0.594974299
0.906443267,0.962161031
0.392684576,0.185778263
0.024855234,0.193039816
0.671436797,0.341644105
0.837170635,0.932897896
0.971499638,0.390667537
0.056932885,0.273216708
0.450323813,0.15194708
0.582470302,0.397108843
0.686637815,0.374722467
0.719432753,0.131114707
0.650040752,0.435040718
